timestamp, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/30 12:51:45.503, 56.06 W, [N/A], 2325 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:46.007, 55.71 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 90 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:46.510, 56.03 W, [N/A], 2370 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:47.014, 55.85 W, [N/A], 2340 MHz, 9001 MHz, 61, 99 %, 91 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:47.517, 56.06 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:48.020, 56.11 W, [N/A], 2265 MHz, 9001 MHz, 62, 99 %, 91 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:48.523, 55.77 W, [N/A], 2347 MHz, 9001 MHz, 61, 99 %, 91 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:49.027, 55.94 W, [N/A], 2332 MHz, 9001 MHz, 61, 99 %, 91 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:49.530, 55.96 W, [N/A], 2227 MHz, 9001 MHz, 62, 99 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:50.033, 56.09 W, [N/A], 2272 MHz, 9001 MHz, 61, 99 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:50.536, 56.21 W, [N/A], 2250 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:51.039, 55.84 W, [N/A], 2265 MHz, 9001 MHz, 62, 93 %, 78 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:51.551, 56.12 W, [N/A], 2287 MHz, 9001 MHz, 62, 99 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:52.054, 56.22 W, [N/A], 2265 MHz, 9001 MHz, 61, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:52.557, 56.14 W, [N/A], 2272 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:53.061, 56.11 W, [N/A], 2122 MHz, 9001 MHz, 62, 99 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:53.563, 56.05 W, [N/A], 2272 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:54.067, 56.13 W, [N/A], 2242 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:54.571, 55.90 W, [N/A], 2272 MHz, 9001 MHz, 62, 94 %, 78 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:55.074, 56.69 W, [N/A], 2272 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:55.577, 56.17 W, [N/A], 2265 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:56.080, 56.21 W, [N/A], 2265 MHz, 9001 MHz, 62, 93 %, 78 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:56.584, 56.22 W, [N/A], 2212 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:57.087, 55.92 W, [N/A], 2272 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:57.590, 56.08 W, [N/A], 2257 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:58.093, 56.00 W, [N/A], 2182 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:58.597, 56.12 W, [N/A], 2272 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:59.101, 56.11 W, [N/A], 2242 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:59.605, 54.15 W, [N/A], 2272 MHz, 9001 MHz, 61, 94 %, 77 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:00.108, 56.81 W, [N/A], 2317 MHz, 9001 MHz, 62, 99 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:00.611, 55.49 W, [N/A], 2257 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:01.114, 56.29 W, [N/A], 2257 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:01.617, 55.77 W, [N/A], 2145 MHz, 9001 MHz, 62, 99 %, 90 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:02.121, 55.85 W, [N/A], 2272 MHz, 9001 MHz, 62, 99 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:02.624, 55.96 W, [N/A], 2242 MHz, 9001 MHz, 62, 99 %, 90 %, 6562 MiB, 8151 MiB
2026/08/30 12:52:03.127, 54.94 W, [N/A], 2272 MHz, 9001 MHz, 64, 91 %, 62 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:03.631, 55.02 W, [N/A], 2047 MHz, 9001 MHz, 62, 99 %, 80 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:04.134, 54.64 W, [N/A], 2032 MHz, 9001 MHz, 62, 99 %, 87 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:04.637, 52.83 W, [N/A], 1942 MHz, 9001 MHz, 62, 99 %, 86 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:05.140, 50.99 W, [N/A], 1867 MHz, 9001 MHz, 62, 98 %, 85 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:05.643, 52.54 W, [N/A], 1875 MHz, 9001 MHz, 62, 99 %, 86 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:06.152, 51.91 W, [N/A], 1875 MHz, 9001 MHz, 61, 99 %, 85 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:06.656, 48.33 W, [N/A], 1882 MHz, 9001 MHz, 61, 94 %, 81 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:07.159, 53.09 W, [N/A], 1815 MHz, 9001 MHz, 61, 99 %, 81 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:07.665, 49.91 W, [N/A], 1927 MHz, 9001 MHz, 61, 99 %, 85 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:08.169, 52.52 W, [N/A], 1822 MHz, 9001 MHz, 61, 99 %, 86 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:08.672, 48.06 W, [N/A], 1890 MHz, 9001 MHz, 61, 91 %, 61 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:09.175, 50.31 W, [N/A], 1777 MHz, 9001 MHz, 61, 99 %, 85 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:09.679, 48.23 W, [N/A], 1852 MHz, 9001 MHz, 61, 99 %, 85 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:10.183, 49.97 W, [N/A], 1792 MHz, 9001 MHz, 61, 99 %, 86 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:10.687, 50.70 W, [N/A], 1845 MHz, 9001 MHz, 60, 97 %, 67 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:11.190, 52.26 W, [N/A], 1852 MHz, 9001 MHz, 61, 99 %, 85 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:11.693, 52.27 W, [N/A], 1957 MHz, 9001 MHz, 61, 99 %, 85 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:12.197, 53.79 W, [N/A], 1912 MHz, 9001 MHz, 62, 99 %, 86 %, 6557 MiB, 8151 MiB
2026/08/30 12:52:12.701, 54.58 W, [N/A], 1995 MHz, 9001 MHz, 62, 99 %, 86 %, 6558 MiB, 8151 MiB
2026/08/30 12:52:13.204, 54.13 W, [N/A], 1965 MHz, 9001 MHz, 62, 99 %, 86 %, 6558 MiB, 8151 MiB
2026/08/30 12:52:13.707, 53.76 W, [N/A], 2070 MHz, 9001 MHz, 62, 99 %, 86 %, 6558 MiB, 8151 MiB
2026/08/30 12:52:14.211, 54.91 W, [N/A], 1957 MHz, 9001 MHz, 62, 99 %, 86 %, 6558 MiB, 8151 MiB
2026/08/30 12:52:14.714, 54.74 W, [N/A], 1935 MHz, 9001 MHz, 62, 99 %, 80 %, 6556 MiB, 8151 MiB
2026/08/30 12:52:15.219, 55.10 W, [N/A], 2145 MHz, 9001 MHz, 62, 98 %, 75 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:15.723, 55.01 W, [N/A], 2025 MHz, 9001 MHz, 62, 99 %, 86 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:16.227, 54.63 W, [N/A], 2070 MHz, 9001 MHz, 62, 99 %, 85 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:16.730, 53.75 W, [N/A], 1965 MHz, 9001 MHz, 62, 99 %, 84 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:17.234, 54.08 W, [N/A], 2032 MHz, 9001 MHz, 62, 99 %, 86 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:17.737, 54.57 W, [N/A], 1927 MHz, 9001 MHz, 62, 99 %, 85 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:18.240, 51.68 W, [N/A], 2100 MHz, 9001 MHz, 62, 89 %, 53 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:18.755, 54.20 W, [N/A], 1837 MHz, 9001 MHz, 62, 99 %, 85 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:19.259, 52.94 W, [N/A], 1837 MHz, 9001 MHz, 62, 98 %, 68 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:19.762, 53.88 W, [N/A], 1995 MHz, 9001 MHz, 62, 99 %, 83 %, 6574 MiB, 8151 MiB
2026/08/30 12:52:20.266, 53.93 W, [N/A], 1807 MHz, 9001 MHz, 62, 99 %, 80 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:20.769, 53.47 W, [N/A], 1995 MHz, 9001 MHz, 64, 99 %, 63 %, 6572 MiB, 8151 MiB
2026/08/30 12:52:21.272, 55.60 W, [N/A], 1822 MHz, 9001 MHz, 62, 98 %, 72 %, 6569 MiB, 8151 MiB
2026/08/30 12:52:21.778, 50.32 W, [N/A], 1965 MHz, 9001 MHz, 62, 98 %, 73 %, 6569 MiB, 8151 MiB
2026/08/30 12:52:22.282, 45.80 W, [N/A], 1912 MHz, 9001 MHz, 61, 99 %, 79 %, 6570 MiB, 8151 MiB
2026/08/30 12:52:22.786, 57.14 W, [N/A], 1725 MHz, 9001 MHz, 62, 97 %, 81 %, 6570 MiB, 8151 MiB
2026/08/30 12:52:23.290, 50.17 W, [N/A], 1875 MHz, 9001 MHz, 62, 99 %, 85 %, 6570 MiB, 8151 MiB
2026/08/30 12:52:23.793, 51.01 W, [N/A], 1702 MHz, 9001 MHz, 62, 99 %, 85 %, 6570 MiB, 8151 MiB
2026/08/30 12:52:24.297, 51.82 W, [N/A], 1732 MHz, 9001 MHz, 62, 99 %, 86 %, 6570 MiB, 8151 MiB
2026/08/30 12:52:24.800, 49.12 W, [N/A], 1740 MHz, 9001 MHz, 62, 99 %, 83 %, 6579 MiB, 8151 MiB
2026/08/30 12:52:25.303, 47.90 W, [N/A], 1672 MHz, 9001 MHz, 62, 98 %, 75 %, 6580 MiB, 8151 MiB
2026/08/30 12:52:25.807, 51.28 W, [N/A], 1792 MHz, 9001 MHz, 62, 99 %, 86 %, 6576 MiB, 8151 MiB
2026/08/30 12:52:26.310, 53.11 W, [N/A], 1740 MHz, 9001 MHz, 62, 99 %, 85 %, 6576 MiB, 8151 MiB
2026/08/30 12:52:26.814, 53.13 W, [N/A], 1770 MHz, 9001 MHz, 62, 99 %, 87 %, 6576 MiB, 8151 MiB
2026/08/30 12:52:27.318, 53.90 W, [N/A], 1800 MHz, 9001 MHz, 64, 99 %, 84 %, 6576 MiB, 8151 MiB
2026/08/30 12:52:27.822, 54.80 W, [N/A], 1852 MHz, 9001 MHz, 62, 99 %, 86 %, 6576 MiB, 8151 MiB
2026/08/30 12:52:28.325, 54.14 W, [N/A], 1845 MHz, 9001 MHz, 62, 99 %, 87 %, 6576 MiB, 8151 MiB
2026/08/30 12:52:28.829, 52.22 W, [N/A], 1822 MHz, 9001 MHz, 62, 99 %, 87 %, 6576 MiB, 8151 MiB
2026/08/30 12:52:29.332, 55.12 W, [N/A], 1777 MHz, 9001 MHz, 61, 99 %, 82 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:29.836, 49.43 W, [N/A], 1860 MHz, 9001 MHz, 62, 99 %, 86 %, 6574 MiB, 8151 MiB
2026/08/30 12:52:30.342, 50.97 W, [N/A], 1837 MHz, 9001 MHz, 63, 99 %, 87 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:30.846, 53.92 W, [N/A], 1822 MHz, 9001 MHz, 63, 99 %, 87 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:31.360, 54.84 W, [N/A], 1762 MHz, 9001 MHz, 62, 93 %, 45 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:31.864, 53.96 W, [N/A], 1822 MHz, 9001 MHz, 62, 99 %, 86 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:32.367, 55.22 W, [N/A], 1822 MHz, 9001 MHz, 62, 99 %, 87 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:32.871, 55.05 W, [N/A], 1852 MHz, 9001 MHz, 62, 99 %, 87 %, 6575 MiB, 8151 MiB
2026/08/30 12:52:33.374, 55.08 W, [N/A], 1852 MHz, 9001 MHz, 62, 84 %, 39 %, 6584 MiB, 8151 MiB
2026/08/30 12:52:33.877, 54.81 W, [N/A], 1852 MHz, 9001 MHz, 63, 99 %, 86 %, 6584 MiB, 8151 MiB
2026/08/30 12:52:34.380, 56.54 W, [N/A], 1852 MHz, 9001 MHz, 62, 99 %, 82 %, 6584 MiB, 8151 MiB
2026/08/30 12:52:34.887, 54.94 W, [N/A], 1890 MHz, 9001 MHz, 63, 99 %, 86 %, 6590 MiB, 8151 MiB
2026/08/30 12:52:35.390, 54.09 W, [N/A], 1852 MHz, 9001 MHz, 62, 92 %, 69 %, 6590 MiB, 8151 MiB
2026/08/30 12:52:35.893, 54.38 W, [N/A], 1852 MHz, 9001 MHz, 64, 98 %, 64 %, 6590 MiB, 8151 MiB
2026/08/30 12:52:36.396, 54.48 W, [N/A], 1740 MHz, 9001 MHz, 63, 99 %, 64 %, 6589 MiB, 8151 MiB
2026/08/30 12:52:36.900, 54.58 W, [N/A], 1695 MHz, 9001 MHz, 63, 99 %, 65 %, 6589 MiB, 8151 MiB
2026/08/30 12:52:37.403, 54.88 W, [N/A], 1747 MHz, 9001 MHz, 63, 99 %, 66 %, 6589 MiB, 8151 MiB
2026/08/30 12:52:37.906, 55.17 W, [N/A], 1710 MHz, 9001 MHz, 63, 99 %, 67 %, 6589 MiB, 8151 MiB
2026/08/30 12:52:38.410, 52.07 W, [N/A], 1755 MHz, 9001 MHz, 63, 99 %, 67 %, 6585 MiB, 8151 MiB
2026/08/30 12:52:38.913, 54.81 W, [N/A], 1755 MHz, 9001 MHz, 62, 99 %, 64 %, 6585 MiB, 8151 MiB
2026/08/30 12:52:39.417, 53.69 W, [N/A], 1845 MHz, 9001 MHz, 63, 98 %, 59 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:39.920, 55.12 W, [N/A], 1815 MHz, 9001 MHz, 63, 98 %, 66 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:40.424, 53.99 W, [N/A], 1785 MHz, 9001 MHz, 63, 98 %, 63 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:40.927, 55.55 W, [N/A], 1725 MHz, 9001 MHz, 64, 99 %, 68 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:41.430, 54.71 W, [N/A], 1770 MHz, 9001 MHz, 63, 99 %, 66 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:41.933, 55.88 W, [N/A], 1710 MHz, 9001 MHz, 63, 99 %, 37 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:42.437, 55.86 W, [N/A], 1920 MHz, 9001 MHz, 64, 99 %, 64 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:42.942, 55.57 W, [N/A], 1717 MHz, 9001 MHz, 63, 98 %, 67 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:43.446, 55.57 W, [N/A], 1800 MHz, 9001 MHz, 63, 99 %, 66 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:43.955, 55.67 W, [N/A], 1747 MHz, 9001 MHz, 63, 99 %, 68 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:44.459, 55.78 W, [N/A], 1792 MHz, 9001 MHz, 63, 99 %, 67 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:44.962, 58.35 W, [N/A], 1740 MHz, 9001 MHz, 63, 95 %, 27 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:45.465, 56.52 W, [N/A], 1852 MHz, 9001 MHz, 64, 99 %, 65 %, 6573 MiB, 8151 MiB
2026/08/30 12:52:45.969, 56.06 W, [N/A], 1755 MHz, 9001 MHz, 63, 99 %, 67 %, 6573 MiB, 8151 MiB
2026/08/30 12:52:46.476, 54.68 W, [N/A], 1740 MHz, 9001 MHz, 63, 99 %, 65 %, 6573 MiB, 8151 MiB
2026/08/30 12:52:46.979, 55.88 W, [N/A], 1732 MHz, 9001 MHz, 63, 99 %, 67 %, 6573 MiB, 8151 MiB
2026/08/30 12:52:47.482, 55.11 W, [N/A], 1732 MHz, 9001 MHz, 63, 99 %, 67 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:47.986, 55.25 W, [N/A], 1695 MHz, 9001 MHz, 65, 85 %, 41 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:48.489, 54.56 W, [N/A], 1762 MHz, 9001 MHz, 63, 99 %, 64 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:48.993, 54.74 W, [N/A], 1687 MHz, 9001 MHz, 64, 99 %, 65 %, 6571 MiB, 8151 MiB
2026/08/30 12:52:49.496, 55.39 W, [N/A], 1770 MHz, 9001 MHz, 63, 99 %, 66 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:50.000, 55.02 W, [N/A], 1710 MHz, 9001 MHz, 63, 98 %, 66 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:50.503, 54.85 W, [N/A], 1770 MHz, 9001 MHz, 63, 98 %, 67 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:51.009, 53.74 W, [N/A], 1717 MHz, 9001 MHz, 65, 92 %, 61 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:51.512, 55.28 W, [N/A], 1882 MHz, 9001 MHz, 64, 99 %, 64 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:52.016, 55.60 W, [N/A], 1702 MHz, 9001 MHz, 63, 99 %, 64 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:52.519, 55.92 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 65 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:53.022, 54.95 W, [N/A], 1695 MHz, 9001 MHz, 63, 99 %, 65 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:53.525, 56.67 W, [N/A], 1770 MHz, 9001 MHz, 64, 98 %, 65 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:54.031, 53.21 W, [N/A], 1740 MHz, 9001 MHz, 63, 98 %, 65 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:54.535, 55.67 W, [N/A], 1897 MHz, 9001 MHz, 63, 99 %, 64 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:55.038, 53.47 W, [N/A], 1710 MHz, 9001 MHz, 63, 99 %, 64 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:55.541, 55.08 W, [N/A], 1755 MHz, 9001 MHz, 63, 98 %, 64 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:56.047, 52.37 W, [N/A], 1710 MHz, 9001 MHz, 63, 99 %, 64 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:56.555, 56.10 W, [N/A], 1717 MHz, 9001 MHz, 63, 99 %, 67 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:57.059, 54.11 W, [N/A], 1710 MHz, 9001 MHz, 63, 99 %, 66 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:57.563, 54.90 W, [N/A], 1732 MHz, 9001 MHz, 64, 100 %, 34 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:58.067, 54.39 W, [N/A], 1740 MHz, 9001 MHz, 63, 99 %, 64 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:58.571, 55.62 W, [N/A], 1710 MHz, 9001 MHz, 63, 99 %, 68 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:59.075, 54.89 W, [N/A], 1755 MHz, 9001 MHz, 63, 99 %, 65 %, 6567 MiB, 8151 MiB
2026/08/30 12:52:59.579, 56.44 W, [N/A], 1732 MHz, 9001 MHz, 63, 99 %, 68 %, 6567 MiB, 8151 MiB
2026/08/30 12:53:00.082, 55.55 W, [N/A], 1755 MHz, 9001 MHz, 63, 99 %, 67 %, 6567 MiB, 8151 MiB
2026/08/30 12:53:00.586, 56.66 W, [N/A], 1657 MHz, 9001 MHz, 64, 93 %, 28 %, 6567 MiB, 8151 MiB
2026/08/30 12:53:01.089, 53.16 W, [N/A], 1890 MHz, 9001 MHz, 64, 99 %, 42 %, 6567 MiB, 8151 MiB
2026/08/30 12:53:01.592, 54.35 W, [N/A], 1732 MHz, 9001 MHz, 64, 99 %, 44 %, 6567 MiB, 8151 MiB
2026/08/30 12:53:02.096, 55.06 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 44 %, 6567 MiB, 8151 MiB
2026/08/30 12:53:02.600, 54.98 W, [N/A], 1747 MHz, 9001 MHz, 64, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:03.103, 54.88 W, [N/A], 1792 MHz, 9001 MHz, 63, 99 %, 44 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:03.606, 54.88 W, [N/A], 1770 MHz, 9001 MHz, 64, 99 %, 46 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:04.109, 54.97 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 46 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:04.612, 55.38 W, [N/A], 1777 MHz, 9001 MHz, 64, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:05.115, 55.55 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:05.619, 56.18 W, [N/A], 1792 MHz, 9001 MHz, 63, 99 %, 48 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:06.123, 54.98 W, [N/A], 1800 MHz, 9001 MHz, 63, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:06.626, 57.18 W, [N/A], 1792 MHz, 9001 MHz, 64, 100 %, 25 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:07.129, 53.54 W, [N/A], 1912 MHz, 9001 MHz, 63, 99 %, 43 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:07.633, 55.64 W, [N/A], 1762 MHz, 9001 MHz, 64, 99 %, 44 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:08.136, 54.86 W, [N/A], 1822 MHz, 9001 MHz, 63, 99 %, 44 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:08.639, 55.63 W, [N/A], 1785 MHz, 9001 MHz, 64, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:09.142, 55.74 W, [N/A], 1822 MHz, 9001 MHz, 63, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:09.646, 55.91 W, [N/A], 1800 MHz, 9001 MHz, 64, 99 %, 46 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:10.157, 55.44 W, [N/A], 1815 MHz, 9001 MHz, 63, 99 %, 46 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:10.660, 56.03 W, [N/A], 1807 MHz, 9001 MHz, 64, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:11.164, 55.25 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:11.667, 56.09 W, [N/A], 1800 MHz, 9001 MHz, 63, 99 %, 48 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:12.170, 54.99 W, [N/A], 1807 MHz, 9001 MHz, 63, 87 %, 43 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:12.672, 55.74 W, [N/A], 1890 MHz, 9001 MHz, 64, 99 %, 36 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:13.176, 56.10 W, [N/A], 1822 MHz, 9001 MHz, 63, 99 %, 43 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:13.679, 56.57 W, [N/A], 1822 MHz, 9001 MHz, 64, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:14.182, 56.12 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 44 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:14.687, 56.83 W, [N/A], 1815 MHz, 9001 MHz, 63, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:15.190, 56.12 W, [N/A], 1815 MHz, 9001 MHz, 63, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:15.693, 56.07 W, [N/A], 1815 MHz, 9001 MHz, 63, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:16.197, 55.81 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:16.700, 56.35 W, [N/A], 1800 MHz, 9001 MHz, 63, 99 %, 48 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:17.203, 56.13 W, [N/A], 1807 MHz, 9001 MHz, 64, 99 %, 48 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:17.706, 56.15 W, [N/A], 1807 MHz, 9001 MHz, 64, 99 %, 48 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:18.209, 56.12 W, [N/A], 1807 MHz, 9001 MHz, 64, 99 %, 25 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:18.712, 55.89 W, [N/A], 1920 MHz, 9001 MHz, 64, 99 %, 43 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:19.216, 55.60 W, [N/A], 1777 MHz, 9001 MHz, 63, 99 %, 44 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:19.720, 55.60 W, [N/A], 1815 MHz, 9001 MHz, 64, 99 %, 44 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:20.223, 55.83 W, [N/A], 1777 MHz, 9001 MHz, 63, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:20.727, 56.14 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 45 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:21.230, 55.99 W, [N/A], 1800 MHz, 9001 MHz, 63, 99 %, 46 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:21.733, 55.96 W, [N/A], 1807 MHz, 9001 MHz, 63, 99 %, 47 %, 6564 MiB, 8151 MiB
2026/08/30 12:53:22.237, 56.30 W, [N/A], 1800 MHz, 9001 MHz, 63, 99 %, 47 %, 6564 MiB, 8151 MiB
