timestamp, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/30 12:50:35.103, 10.50 W, [N/A], 1005 MHz, 9001 MHz, 51, 0 %, 2 %, 1455 MiB, 8151 MiB
2026/08/30 12:50:35.605, 11.79 W, [N/A], 1777 MHz, 9001 MHz, 51, 3 %, 3 %, 1615 MiB, 8151 MiB
2026/08/30 12:50:36.107, 12.03 W, [N/A], 1665 MHz, 9001 MHz, 51, 1 %, 2 %, 1615 MiB, 8151 MiB
2026/08/30 12:50:36.609, 12.43 W, [N/A], 1590 MHz, 9001 MHz, 52, 31 %, 9 %, 4567 MiB, 8151 MiB
2026/08/30 12:50:37.111, 13.55 W, [N/A], 1597 MHz, 9001 MHz, 51, 0 %, 2 %, 4567 MiB, 8151 MiB
2026/08/30 12:50:37.613, 12.29 W, [N/A], 1582 MHz, 9001 MHz, 51, 8 %, 3 %, 4567 MiB, 8151 MiB
2026/08/30 12:50:38.116, 12.38 W, [N/A], 1657 MHz, 9001 MHz, 51, 6 %, 2 %, 4567 MiB, 8151 MiB
2026/08/30 12:50:38.618, 12.39 W, [N/A], 1702 MHz, 9001 MHz, 51, 5 %, 2 %, 4567 MiB, 8151 MiB
2026/08/30 12:50:39.122, 11.91 W, [N/A], 1747 MHz, 9001 MHz, 52, 6 %, 2 %, 4567 MiB, 8151 MiB
2026/08/30 12:50:39.624, 12.33 W, [N/A], 1665 MHz, 9001 MHz, 52, 6 %, 2 %, 4562 MiB, 8151 MiB
2026/08/30 12:50:40.126, 12.24 W, [N/A], 2040 MHz, 9001 MHz, 52, 0 %, 1 %, 4554 MiB, 8151 MiB
2026/08/30 12:50:40.628, 10.92 W, [N/A], 1567 MHz, 9001 MHz, 52, 0 %, 1 %, 4554 MiB, 8151 MiB
2026/08/30 12:50:41.130, 9.78 W, [N/A], 1507 MHz, 9001 MHz, 52, 0 %, 1 %, 4554 MiB, 8151 MiB
2026/08/30 12:50:41.633, 9.62 W, [N/A], 262 MHz, 9001 MHz, 52, 0 %, 1 %, 4554 MiB, 8151 MiB
2026/08/30 12:50:42.136, 20.95 W, [N/A], 330 MHz, 9001 MHz, 55, 82 %, 59 %, 5316 MiB, 8151 MiB
2026/08/30 12:50:42.641, 35.70 W, [N/A], 1800 MHz, 9001 MHz, 56, 100 %, 26 %, 5316 MiB, 8151 MiB
2026/08/30 12:50:43.156, 40.76 W, [N/A], 1222 MHz, 9001 MHz, 55, 100 %, 25 %, 5318 MiB, 8151 MiB
2026/08/30 12:50:43.659, 26.52 W, [N/A], 1312 MHz, 9001 MHz, 53, 0 %, 2 %, 5613 MiB, 8151 MiB
2026/08/30 12:50:44.161, 16.79 W, [N/A], 412 MHz, 9001 MHz, 52, 3 %, 2 %, 4772 MiB, 8151 MiB
2026/08/30 12:50:44.663, 21.34 W, [N/A], 697 MHz, 9001 MHz, 54, 31 %, 14 %, 4866 MiB, 8151 MiB
2026/08/30 12:50:45.166, 20.43 W, [N/A], 900 MHz, 9001 MHz, 52, 0 %, 2 %, 4866 MiB, 8151 MiB
2026/08/30 12:50:45.668, 10.76 W, [N/A], 510 MHz, 9001 MHz, 52, 0 %, 2 %, 5770 MiB, 8151 MiB
2026/08/30 12:50:46.170, 24.80 W, [N/A], 450 MHz, 9001 MHz, 56, 100 %, 30 %, 6434 MiB, 8151 MiB
2026/08/30 12:50:46.673, 37.83 W, [N/A], 1695 MHz, 9001 MHz, 57, 100 %, 21 %, 6434 MiB, 8151 MiB
2026/08/30 12:50:47.179, 39.26 W, [N/A], 1027 MHz, 9001 MHz, 56, 89 %, 24 %, 5822 MiB, 8151 MiB
2026/08/30 12:50:47.681, 38.38 W, [N/A], 1792 MHz, 9001 MHz, 57, 81 %, 21 %, 5884 MiB, 8151 MiB
2026/08/30 12:50:48.183, 39.87 W, [N/A], 1410 MHz, 9001 MHz, 56, 71 %, 25 %, 5906 MiB, 8151 MiB
2026/08/30 12:50:48.685, 39.78 W, [N/A], 1867 MHz, 9001 MHz, 56, 63 %, 26 %, 5912 MiB, 8151 MiB
