timestamp,gpu,world_size,tensor_size_mb,warmup_steps,benchmark_steps,average_latency_ms,algorithm_bandwidth_gbps,bus_bandwidth_gbps
2026-08-30T08:53:12,NVIDIA A100-SXM4-80GB,2,1,5,20,0.0959909986704588,10.92369091397628,10.92369091397628
2026-08-30T08:53:12,NVIDIA A100-SXM4-80GB,2,4,5,20,0.09354082867503166,44.839286324598945,44.839286324598945
2026-08-30T08:53:12,NVIDIA A100-SXM4-80GB,2,16,5,20,0.15677642077207565,107.01364348909978,107.01364348909978
2026-08-30T08:53:12,NVIDIA A100-SXM4-80GB,2,64,5,20,0.4433262161910534,151.37580758607592,151.37580758607592
2026-08-30T08:53:12,NVIDIA A100-SXM4-80GB,2,256,5,20,1.6041405964642763,167.33910767651219,167.33910767651219
